State;Continent;Owner;RT.com;Spt.ru;All %;OK;Fail;Flag;Euro %;OK;Fail;Flag;TTJA %;OK;Fail;Flag;NEPLP %;OK;Fail;Flag;Cat3 %;Cat5 %
CH;EU;Bluewin;0;0;0.2;88;22;0;0.49;18;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
CZ;EU;INTERNET CZ, a.s.;0;0;0.21;82;22;0;0.5;17;17;0;0.0;8;0;0;0.12;63;9;0;0.0;0.0
DK;EU;ASERGO Scandinavia ApS;0;0;0.22;76;21;0;0.48;17;16;0;0.0;8;0;0;0.12;57;8;0;0.0;0.0
DE;EU;Hetzner Online GmbH;0;0;0.24;82;26;0;0.62;13;21;1;0.0;8;0;0;0.12;67;9;0;0.33;0.2
RU;EU;JSC ER-Telecom Holding;0;0;0.21;87;23;0;0.51;17;18;1;0.0;9;0;0;0.12;67;9;0;0.33;0.2
RU;EU;JSC ER-Telecom Holding;0;0;0.2;88;22;0;0.49;18;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
--;~~;Quad9;0;1;0.23;81;24;0;0.58;14;19;1;0.0;9;0;0;0.14;63;10;0;0.33;0.4
GR;EU;Hellenic Parliament;0;0;0.11;81;10;0;0.29;12;5;0;0.0;8;0;0;0.08;67;6;0;0.0;0.0
DE;EU;netcup GmbH;0;0;0.2;88;22;0;0.49;18;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
GB;EU;IONOS SE;0;0;0.23;37;11;0;0.58;5;7;1;0.0;3;0;0;0.18;31;7;0;0.33;0.2
RO;EU;RCS & RDS;0;0;0.18;74;16;0;0.5;11;11;0;0.0;9;0;0;0.12;60;8;0;0.0;0.0
CH;EU;Bluewin;0;0;0.26;80;28;0;0.68;11;23;1;0.0;9;0;0;0.15;64;11;0;0.33;0.2
SE;EU;GlobalConnect AB;0;0;0.46;59;51;0;0.66;12;23;1;0.22;7;2;0;0.42;44;32;0;0.33;0.2
RU;EU;Iskratelecom CJSC;0;0;0.19;87;21;0;0.47;18;16;0;0.0;9;0;0;0.11;66;8;0;0.0;0.0
--;~~;Yandex.DNS;0;0;0.2;86;22;0;0.52;16;17;1;0.0;9;0;0;0.12;67;9;0;0.33;0.2
GB;EU;Wessex Internet Limited;0;0;0.19;50;12;0;0.45;11;9;0;0.0;6;0;0;0.14;37;6;0;0.0;0.0
GB;EU;MDNX;0;0;0.2;35;9;0;0.58;5;7;1;0.0;5;0;0;0.12;29;4;0;0.33;0.2
GB;EU;IONOS SE;0;0;0.2;82;20;0;0.52;14;15;1;0.0;9;0;0;0.12;65;9;0;0.33;0.2
DE;EU;Probe Networks;0;0;0.2;88;22;0;0.49;18;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
LT;EU;UAB Cgates;0;0;0.17;30;6;0;0.38;8;5;0;0.0;1;0;0;0.16;21;4;0;0.0;0.0
GB;EU;Virgin Media Limited;0;0;0.2;64;16;0;0.45;12;10;0;0.0;7;0;0;0.16;49;9;0;0.0;0.0
RU;EU;JSC ER-Telecom Holding;0;0;0.23;30;9;0;0.41;10;7;0;0.0;4;0;0;0.15;17;3;0;0.0;0.0
GB;EU;Qubic Group Limited;0;0;0.2;86;21;0;0.47;18;16;0;0.0;9;0;0;0.12;65;9;0;0.0;0.0
GB;EU;Electronic Media Services Ltd;0;0;0.17;73;15;0;0.42;15;11;0;0.0;5;0;0;0.11;55;7;0;0.0;0.0
GB;EU;IONOS SE;0;0;0.19;88;21;0;0.47;18;16;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
NO;EU;Itera Norge AS;0;0;0.25;66;22;0;0.46;15;13;0;0.0;7;0;0;0.2;48;12;0;0.0;0.0
SE;EU;Telia Company AB;0;0;0.22;75;21;0;0.47;18;16;0;0.0;9;0;0;0.13;54;8;0;0.0;0.0
IT;EU;Irideos S.p.A.;0;0;0.19;88;21;0;0.47;18;16;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
IT;EU;Prometeo S.p.A.;0;1;0.33;73;36;0;0.88;4;30;1;0.0;9;0;0;0.16;64;12;0;0.33;0.4
RU;EU;Rostelecom;0;0;0.12;21;3;0;0.67;1;2;0;0.0;3;0;0;0.05;19;1;0;0.0;0.0
CH;EU;Bluewin;0;0;0.2;87;22;0;0.5;17;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
FR;EU;OVH SAS;0;0;0.21;84;22;0;0.55;14;17;1;0.0;9;0;0;0.12;67;9;0;0.33;0.2
CH;EU;Bluewin;0;0;0.2;88;22;0;0.49;18;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
